Symbol	Name	Change	% Change	Price (Intraday)	50 Day Average	200 Day Average	3-Mo Return	YTD Return	52 Week Range
0P0000XXZ1.BO	Tata Treasury Advantage Fund Direct Plan Periodic Dividend Payout	+0.61	+0.03%	2,206.42	2,193.29	2,144.01	2.06%	3.64%	
0P0001BBED.BO	Tata Treasury Advantage Fund Direct Plan Periodic Dividend Reinvestment	+0.61	+0.03%	2,206.42	2,193.29	2,144.01	2.06%	3.64%	
0P0000XVOW.BO	Tata Treasury Advantage Fund Direct Plan Growth	+0.97	+0.03%	3,479.81	3,459.12	3,380.98	2.06%	3.67%	
0P0000XVOP.BO	Tata Treasury Advantage Fund Direct Plan Daily Dividend Reinvestment	0.00	0.00%	1,003.53	1,003.53	1,003.51	2.07%	3.69%	
0P0001BABZ.BO	ICICI Prudential Medium Term Bond Fund Direct Plan Quarterly Dividend Reinvestment	-0.01	-0.05%	11.29	11.26	11.23	0.22%	1.79%	
0P0001BAC1.BO	ICICI Prudential Medium Term Bond Fund Quarterly Dividend Reinvestment	-0.01	-0.06%	10.72	10.70	10.67	0.23%	1.64%	
0P0000V9C3.BO	ICICI Prudential Medium Term Bond Fund Quarterly Dividend Payout	-0.01	-0.06%	10.72	10.70	10.67	0.23%	1.64%	
0P0000XYOB.BO	ICICI Prudential Medium Term Bond Fund Direct Plan Growth	-0.02	-0.06%	41.60	41.34	40.25	2.50%	4.13%	
0P00005UNR.BO	ICICI Prudential Medium Term Bond Fund Growth	-0.02	-0.06%	38.38	38.16	37.23	2.33%	3.80%	
0P0000XWA9.BO	ICICI Prudential Medium Term Bond Fund Direct Plan Quarterly Dividend Payout	-0.01	-0.05%	11.29	11.26	11.23	0.22%	1.79%	
0P00005WLL.BO	HDFC Capital Builder Value Fund Dividend Payout	+0.27	+1.01%	26.55	25.47	26.11	13.16%	-2.99%	
0P0000XW6Q.BO	HDFC Capital Builder Value Fund -Direct Plan Dividend Payout Option	+0.32	+1.02%	31.42	30.10	30.58	13.40%	-1.31%	
0P0001BA6T.BO	HDFC Capital Builder Value Fund -Direct Plan Dividend Reinvestment Option	+0.32	+1.02%	31.42	30.10	30.58	13.40%	-1.31%	
0P0000XW6R.BO	HDFC Capital Builder Value Fund -Direct Plan - Growth Option	+5.37	+1.02%	527.64	505.47	492.10	13.40%	6.34%	
0P00005WLM.BO	HDFC Capital Builder Value Fund Growth	+4.87	+1.01%	480.64	461.12	449.93	13.16%	5.87%	
0P00005UQ1.BO	Nippon India Money Market Fund Weekly Dividend Reinvestment	-1.04	-0.10%	1,005.68	1,005.78	1,005.01	2.04%	3.69%	
0P0001BB47.BO	Nippon India Money Market Fund Monthly Dividend Reinvestment	+0.43	+0.04%	1,014.21	1,017.02	1,015.82	2.02%	3.67%	
0P0000Z9UZ.BO	Nippon India Money Market Fund Direct Plan Bonus Plan	+0.91	+0.04%	2,124.88	2,111.04	2,062.29	2.06%	3.75%	
0P0000XVEW.BO	Nippon India Money Market Fund Direct Plan Weekly Dividend Reinvestment Option	-1.06	-0.11%	1,005.68	1,005.77	1,005.00	2.06%	3.75%	
0P00005UQ0.BO	Nippon India Money Market Fund Monthly Dividend Payout	+0.43	+0.04%	1,014.21	1,017.02	1,015.82	2.02%	3.67%	
0P0000XVEX.BO	Nippon India Money Market Fund Direct Plan Monthly Dividend Payout Option	+0.44	+0.04%	1,014.29	1,017.14	1,015.93	2.05%	3.73%	
0P0001BB48.BO	Nippon India Money Market Fund Quarterly Dividend Reinvestment Plan	+0.42	+0.04%	1,011.87	1,022.00	1,018.17	-0.03%	0.02%	
0P0000Z9UY.BO	Nippon India Money Market Fund Quarterly Dividend Payout Plan	+0.42	+0.04%	1,011.87	1,022.00	1,018.17	-0.03%	0.02%	
0P0001BB45.BO	Nippon India Money Market Fund Direct Plan Monthly Dividend Reinvestment Option	+0.44	+0.04%	1,014.29	1,017.14	1,015.93	2.05%	3.73%	
0P0000XVEV.BO	Nippon India Money Market Fund Direct Plan Daily Dividend Reinvestment Option	+0.01	+0.00%	1,004.14	1,004.62	1,003.90	2.06%	3.74%	
0P00005UPZ.BO	Nippon India Money Market Fund Growth	+1.51	+0.04%	3,577.04	3,554.10	3,473.39	2.03%	3.69%	
0P0001BB46.BO	Nippon India Money Market Fund Direct Plan Quarterly Dividend Reinvestment Option	+0.43	+0.04%	1,011.85	1,022.13	1,018.28	-0.04%	0.02%	
0P0000Z5BN.BO	Nippon India Money Market Fund Direct Plan Quarterly Dividend Payout Option	+0.43	+0.04%	1,011.85	1,022.13	1,018.28	-0.04%	0.02%	
0P0000XVEU.BO	Nippon India Money Market Fund Direct Plan Growth Option	+1.55	+0.04%	3,613.61	3,590.06	3,507.16	2.06%	3.75%	
0P00005UPY.BO	Nippon India Money Market Fund Daily Dividend Reinvestment	+0.01	+0.00%	1,004.21	1,004.69	1,003.97	2.03%	3.68%	
0P0000XW8Z.BO	HDFC TaxSaver -Direct Plan - Growth Option	+9.64	+1.02%	944.24	903.79	870.54	13.61%	8.50%	
0P0001BA98.BO	HDFC TaxSaver -Direct Plan Dividend Reinvestment Option	+0.75	+1.02%	73.48	70.33	71.37	13.61%	-0.13%	
0P00005WNB.BO	HDFC TaxSaver Growth	+9.01	+1.02%	885.42	847.43	818.10	13.45%	8.17%	
0P00005WNA.BO	HDFC TaxSaver Dividend Payout	+0.59	+1.02%	57.56	55.09	56.84	13.45%	-2.57%	
0P0000XW8Y.BO	HDFC TaxSaver -Direct Plan Dividend Payout Option	+0.75	+1.02%	73.48	70.33	71.37	13.61%	-0.13%	
0P0001BA99.BO	HDFC TaxSaver Dividend Reinvestment	+0.59	+1.02%	57.56	55.09	56.84	13.45%	-2.57%	
0P0000NQXI.BO	ICICI Prudential Life - Multi Cap Growth Fund	+0.38	+0.99%	38.86	37.15	36.22	15.14%	6.68%	
0P0000NQX9.BO	ICICI Prudential Life - Income Fund	-0.04	-0.13%	27.75	27.66	26.96	2.26%	3.74%	
0P0001022H.BO	Nippon India Low Duration Fund Direct Plan Dividend Payout Option	+0.62	+0.03%	1,801.16	1,789.84	1,784.94	2.15%	3.64%	
0P0001BB4W.BO	Nippon India Low Duration Fund Retail Monthly Dividend Reinvestment	+0.32	+0.03%	1,026.10	1,026.79	1,025.71	1.95%	3.34%	
0P00009MUP.BO	Nippon India Low Duration Fund Retail Monthly Dividend Payout	+0.32	+0.03%	1,026.10	1,026.79	1,025.71	1.95%	3.34%	
0P00009JEW.BO	Nippon India Low Duration Fund Weekly Dividend Payout	+0.31	+0.03%	1,009.07	1,009.38	1,009.23	2.00%	3.42%	
0P0001BB4Z.BO	Nippon India Low Duration Fund Weekly Dividend Reinvestment	+0.31	+0.03%	1,009.07	1,009.38	1,009.23	2.00%	3.42%	
0P00009JEX.BO	Nippon India Low Duration Fund Retail Bonus	+0.71	+0.03%	2,306.07	2,293.11	2,245.09	1.96%	3.36%	
0P0001BB4U.BO	Nippon India Low Duration Fund Monthly Dividend Reinvestment	+0.32	+0.03%	1,024.13	1,024.82	1,023.69	1.99%	3.40%	
0P0000XVF9.BO	Nippon India Low Duration Fund Direct Plan Bonus Plan	+0.68	+0.03%	1,978.27	1,965.56	1,919.82	2.15%	3.73%	
0P0001BB4S.BO	Nippon India Low Duration Fund Direct Plan Weekly Dividend Reinvestment Plan	+0.34	+0.03%	1,009.21	1,009.53	1,009.41	2.15%	3.73%	
0P0000XVFE.BO	Nippon India Low Duration Fund Direct Plan Quarterly Dividend Payout Plan	+0.35	+0.03%	1,013.69	1,025.47	1,020.45	2.10%	3.66%	
0P00009MXV.BO	Nippon India Low Duration Fund Retail Weekly Dividend Payout	+0.31	+0.03%	1,009.24	1,009.55	1,009.40	1.96%	3.36%	
0P00009JDI.BO	Nippon India Low Duration Fund Bonus	+0.59	+0.03%	1,885.89	1,875.00	1,835.16	2.00%	3.42%	
0P00009JF2.BO	Nippon India Low Duration Fund Retail Growth	+0.95	+0.03%	3,094.71	3,077.31	3,012.84	1.96%	3.36%	
0P0001BB4Y.BO	Nippon India Low Duration Fund Retail Weekly Dividend Reinvestment	+0.31	+0.03%	1,009.24	1,009.55	1,009.40	1.96%	3.36%	
0P0001BB4R.BO	Nippon India Low Duration Fund Direct Plan Quarterly Dividend Reinvestment Plan	+0.35	+0.03%	1,013.69	1,025.47	1,020.45	2.10%	3.66%	
0P00009MWG.BO	Nippon India Low Duration Fund Retail Quarterly Dividend Payout	+0.31	+0.03%	1,013.30	1,024.26	1,019.37	1.92%	3.30%	
0P00009JER.BO	Nippon India Low Duration Fund Daily Dividend Reinvestment	0.00	0.00%	1,008.97	1,009.06	1,008.95	1.99%	3.41%	
0P0000XVFC.BO	Nippon India Low Duration Fund Direct Plan Growth Plan	+1.18	+0.03%	3,405.54	3,384.15	3,305.70	2.15%	3.73%	
0P00009JEV.BO	Nippon India Low Duration Fund Quarterly Dividend Payout	+0.32	+0.03%	1,013.27	1,024.33	1,019.39	1.95%	3.36%	
0P00009JES.BO	Nippon India Low Duration Fund Growth	+1.03	+0.03%	3,248.14	3,228.96	3,160.10	2.00%	3.42%	
0P0001BB4X.BO	Nippon India Low Duration Fund Retail Quarterly Dividend Reinvestment	+0.31	+0.03%	1,013.30	1,024.26	1,019.37	1.92%	3.30%	
0P0000XVFA.BO	Nippon India Low Duration Fund Direct Plan Monthly Dividend Payout Plan	+0.36	+0.03%	1,031.32	1,032.08	1,030.90	2.14%	3.71%	
0P000115HB.BO	Nippon India Low Duration Fund Dividend Payout Plan	+0.55	+0.03%	1,726.56	1,716.59	1,716.77	2.00%	3.32%	
0P0000XVFB.BO	Nippon India Low Duration Fund Direct Plan Weekly Dividend Payout Plan	+0.34	+0.03%	1,009.21	1,009.53	1,009.41	2.15%	3.73%	
0P0001BB4P.BO	Nippon India Low Duration Fund Direct Plan Dividend Reinvestment Option	+0.62	+0.03%	1,801.16	1,789.84	1,784.94	2.15%	3.64%	
0P0001BB4V.BO	Nippon India Low Duration Fund Quarterly Dividend Reinvestment	+0.32	+0.03%	1,013.27	1,024.33	1,019.39	1.95%	3.36%	
0P0001BB4Q.BO	Nippon India Low Duration Fund Direct Plan Monthly Dividend Reinvestment Plan	+0.36	+0.03%	1,031.32	1,032.08	1,030.90	2.14%	3.71%	
0P00009JEY.BO	Nippon India Low Duration Fund Retail Daily Dividend Reinvestment	0.00	0.00%	1,008.97	1,009.06	1,008.95	1.95%	3.35%	
0P00009JET.BO	Nippon India Low Duration Fund Monthly Dividend Payout	+0.32	+0.03%	1,024.13	1,024.82	1,023.69	1.99%	3.40%	
0P0000XVF7.BO	Nippon India Low Duration Fund Direct Plan Daily Dividend Reinvestment Plan	0.00	0.00%	1,009.06	1,009.15	1,009.05	2.14%	3.72%	
0P0001BB4T.BO	Nippon India Low Duration Fund Dividend Reinvestment Plan	+0.55	+0.03%	1,726.56	1,716.59	1,716.77	2.00%	3.32%	
0P00005V09.BO	HDFC Liquid Fund Growth	+0.98	+0.02%	4,457.41	4,438.06	4,375.31	1.76%	3.36%	
0P0000XW89.BO	HDFC Liquid Fund -Direct Plan - Growth Option	+1.00	+0.02%	4,498.39	4,478.56	4,414.32	1.79%	3.41%	
0P0000XW88.BO	HDFC Liquid Fund -Direct Plan Daily Dividend Reinvestment Option	0.00	0.00%	1,019.82	1,019.82	1,019.82	1.77%	3.37%	
0P0000XW8A.BO	HDFC Liquid Fund -Direct Plan Monthly Dividend Payout Option	+0.23	+0.02%	1,026.86	1,029.45	1,029.29	0.61%	2.22%	
0P00005V07.BO	HDFC Liquid Fund Daily Dividend Reinvestment	0.00	0.00%	1,019.82	1,019.82	1,019.82	1.74%	3.32%	
0P00005V08.BO	HDFC Liquid Fund Monthly Dividend Payout	+0.23	+0.02%	1,026.85	1,029.41	1,029.25	0.61%	2.19%	
0P0001BA8B.BO	HDFC Liquid Fund -Direct Plan Weekly Dividend Reinvestment Option	+0.23	+0.02%	1,031.60	1,031.76	1,031.76	0.24%	1.05%	
0P0001BA8D.BO	HDFC Liquid Fund Weekly Dividend Reinvestment	+0.22	+0.02%	1,031.59	1,031.74	1,031.75	0.23%	1.04%	
0P00005V0I.BO	HDFC Liquid Fund Weekly Dividend Payout	+0.22	+0.02%	1,031.59	1,031.74	1,031.75	0.23%	1.04%	
0P0001BA8C.BO	HDFC Liquid Fund Monthly Dividend Reinvestment	+0.23	+0.02%	1,026.85	1,029.41	1,029.25	0.61%	2.19%	
0P0000NQKA.BO	Tata AIA Life - Whole Life Mid-Cap Equity Fund	+0.35	+0.36%	96.80	91.28	87.23	18.51%	12.95%	
0P0001BI1H.BO	UTI - Liquid Cash Plan - Direct Plan - Flexi Dividend Reinvestment Option	+0.27	+0.02%	1,359.25	1,353.46	1,334.01	1.80%	3.45%	
0P00019K94.BO	UTI - Liquid Cash Plan - Direct Plan - Half Yearly Dividend Payout Option	+0.25	+0.02%	1,289.09	1,283.60	1,265.15	1.80%	3.45%	
0P0001BBHX.BO	UTI - Liquid Cash Plan - Direct Plan - Quarterly Dividend Reinvestment Option	+0.31	+0.02%	1,558.58	1,551.94	1,529.64	1.80%	3.45%	
0P00016ZNO.BO	UTI - Liquid Cash Plan - Regular Plan - Quarterly Dividend Payout Option	+0.31	+0.02%	1,551.01	1,544.50	1,522.59	1.78%	3.40%	
0P0001BBHT.BO	UTI - Liquid Cash Plan - Direct Plan - Half Yearly Dividend Reinvestment Option	+0.25	+0.02%	1,289.09	1,283.60	1,265.15	1.80%	3.45%	
0P0001BBHZ.BO	UTI - Liquid Cash Plan - Regular Plan - Monthly Dividend Reinvestment Option	+0.21	+0.02%	1,045.33	1,040.83	1,045.99	1.75%	3.36%	
0P0001BI1G.BO	UTI - Liquid Cash Plan - Direct Plan - Flexi Dividend Payout Option	+0.27	+0.02%	1,359.25	1,353.46	1,334.01	1.80%	3.45%	
0P0000XVT3.BO	UTI- Liquid Cash Plan - Direct Plan - Weekly Dividend Reinvestment Option	+0.23	+0.02%	1,165.26	1,160.17	1,143.43	1.80%	3.45%	
0P00005WKX.BO	UTI - Liquid Cash Plan- Discontinued - Regular Plan -Growth	+0.62	+0.02%	3,403.47	3,389.97	3,345.38	1.64%	3.13%	
0P0001BBHR.BO	UTI - Liquid Cash Plan- Discontinued -Regular Plan Periodic Dividend Reinvestment Option	+0.20	+0.02%	1,136.84	1,134.96	1,134.72	1.63%	3.11%	
0P00005WKZ.BO	UTI - Liquid Cash Plan - Regular Plan - Growth Option	+0.73	+0.02%	3,725.29	3,709.24	3,656.40	1.78%	3.40%	
0P0001BTTJ.BO	UTI - Liquid cash plan - Regular Plan - Flexi Dividend Reinvestment Option	+0.27	+0.02%	1,353.82	1,348.14	1,329.01	1.78%	3.40%	
0P00005WKW.BO	UTI - Liquid Cash Plan- Discontinued -Regular Plan Periodic Dividend Payout Option	+0.20	+0.02%	1,136.84	1,134.96	1,134.72	1.63%	3.11%	
0P0000XVT0.BO	UTI- Liquid Cash Plan - Direct Plan - Daily Dividend Reinvestment Option	+0.01	+0.00%	1,062.41	1,062.54	1,059.53	-0.25%	1.19%	
0P0001BBI1.BO	UTI - Liquid Cash Plan- Discontinued - Regular Plan - Monthly Dividend Reinvestment Option	+0.19	+0.02%	1,077.62	1,075.98	1,076.55	1.63%	3.11%	
0P00005WL2.BO	UTI - Liquid Cash Plan- Discontinued - Regular Plan - Monthly Dividend Payout Option	+0.19	+0.02%	1,077.62	1,075.98	1,076.55	1.63%	3.11%	
0P00015EXX.BO	UTI - Liquid Cash Plan - Regular Plan - Annual Dividend Payout Option	+0.32	+0.02%	1,642.64	1,635.74	1,612.53	1.78%	3.40%	
0P00005WL1.BO	UTI - Liquid Cash Plan - Regular Plan - Weekly Dividend Reinvestment Option	+0.21	+0.02%	1,053.13	1,053.53	1,053.57	1.78%	3.40%	
0P0000XX0R.BO	UTI - Liquid Cash Plan - Direct Plan - Monthly Dividend Payout Option	+0.20	+0.02%	1,051.05	1,049.56	1,051.78	1.78%	3.42%	
0P0001BTTI.BO	UTI - Liquid cash plan - Regular Plan - Flexi Dividend Payout Option	+0.27	+0.02%	1,353.82	1,348.14	1,329.01	1.78%	3.40%	
0P00005WKY.BO	UTI - Liquid Cash Plan - Regular Plan - Daily Dividend Reinvestment Option	-0.01	-0.00%	1,080.78	1,080.14	1,076.21	1.76%	3.38%	
0P0000XVT7.BO	UTI- Liquid Cash Plan - Direct Plan - Growth Option	+0.74	+0.02%	3,752.46	3,735.94	3,681.61	1.80%	3.45%	
0P0001BBHS.BO	UTI - Liquid Cash Plan - Direct Plan - Fortnightly Dividend Reinvestment Option	+0.23	+0.02%	1,155.45	1,156.60	1,156.62	1.80%	3.44%	
0P00005WL0.BO	UTI - Liquid Cash Plan - Regular Plan - Monthly Dividend Payout Option	+0.21	+0.02%	1,045.33	1,040.83	1,045.99	1.75%	3.36%	
0P00015OOF.BO	UTI - Liquid Cash Plan - Direct Plan - Annual Dividend Payout Option	+0.33	+0.02%	1,650.28	1,643.07	1,619.37	1.80%	3.45%	
0P00019WH7.BO	UTI - Liquid Cash Plan - Direct Plan - Fortnightly Dividend Payout Option	+0.23	+0.02%	1,155.45	1,156.60	1,156.62	1.80%	3.44%	
0P00018LBR.BO	UTI - Liquid Cash Plan - Regular Plan - Fortnightly Dividend Payout Option	+0.22	+0.02%	1,154.63	1,155.75	1,155.78	1.77%	3.39%	
0P0001E1XX.BO	UTI - Liquid Cash Plan - Regular Plan - Half Yearly Dividend Reinvestment Option	+0.22	+0.02%	1,143.70	1,138.89	1,122.74	1.78%	3.40%	
0P0000NPD7.BO	Max Life - Growth Fund	+0.43	+0.51%	84.18	83.19	81.56	6.81%	3.51%	
0P0000XVVZ.BO	Aditya Birla Sun Life Liquid Weekly Dividend Payout Direct Plan	-0.10	-0.10%	100.33	100.28	100.28	1.82%	3.50%	
0P0001B9NA.BO	Aditya Birla Sun Life Liquid Regular Plan Weekly Dividend Reinvestment	-0.10	-0.10%	100.33	100.28	100.28	1.79%	3.44%	
0P00005X1X.BO	Aditya Birla Sun Life Liquid Fund Institutional Growth	+0.12	+0.02%	609.33	606.76	598.07	1.79%	3.44%	
0P0001BJES.BO	Aditya Birla Sun Life Liquid Dividend Reinvestment Direct Plan	+0.04	+0.02%	200.53	199.67	196.76	1.82%	3.50%	
0P00005X20.BO	Aditya Birla Sun Life Liquid Fund Retail Growth	+0.12	+0.02%	593.77	591.26	582.80	1.79%	3.44%	
0P00005X1Y.BO	Aditya Birla Sun Life Liquid Fund Institutional Weekly Dividend Payout	-0.12	-0.11%	108.18	108.13	108.13	1.88%	3.52%	
0P00005V40.BO	Aditya Birla Sun Life Liquid Fund Institutional Daily Dividend Reinvestment	0.00	0.00%	108.02	108.03	108.03	1.22%	2.32%	
0P00005V45.BO	Aditya Birla Sun Life Liquid Fund Retail Daily Dividend Reinvestment	0.00	0.00%	163.69	163.70	163.70	1.16%	2.27%	
0P00005X1Z.BO	Aditya Birla Sun Life Liquid Regular Plan Weekly Dividend Payout	-0.10	-0.10%	100.33	100.28	100.28	1.79%	3.44%	
0P0000KKEO.BO	Aditya Birla Sun Life Liquid Discipline Advantage Plan Growth	+0.05	+0.02%	246.23	245.16	241.49	1.90%	3.56%	
0P0000XVVX.BO	Aditya Birla Sun Life Liquid Daily Dividend Reinvestment Direct Plan	0.00	0.00%	100.19	100.20	100.20	1.16%	2.29%	
0P0001B9N8.BO	Aditya Birla Sun Life Liquid Fund Institutional Weekly Dividend Reinvestment	-0.12	-0.11%	108.18	108.13	108.13	1.88%	3.52%	
0P0000YCJ0.BO	Aditya Birla Sun Life Liquid Dividend Payout Direct Plan	+0.04	+0.02%	200.53	199.67	196.76	1.82%	3.50%	
0P00005V41.BO	Aditya Birla Sun Life Liquid Regular Plan Daily Dividend Payout	0.00	0.00%	100.19	100.20	100.20	1.14%	2.25%	
0P00017EXB.BO	Aditya Birla Sun Life Liquid Regular Dividend Payout	+0.03	+0.02%	153.10	152.45	150.27	1.79%	3.44%	
0P00005V43.BO	Aditya Birla Sun Life Liquid Regular Plan Growth	+0.07	+0.02%	365.89	364.35	359.13	1.79%	3.44%	
0P0001BF1T.BO	Aditya Birla Sun Life Liquid Weekly Dividend Reinvestment Direct Plan	-0.10	-0.10%	100.33	100.28	100.28	1.82%	3.50%	
0P0001CKEY.BO	Aditya Birla Sun Life Liquid Regular Dividend Reinvestment	+0.03	+0.02%	153.10	152.45	150.27	1.79%	3.44%	
0P0000XVVY.BO	Aditya Birla Sun Life Liquid Growth Direct Plan	+0.07	+0.02%	369.35	367.76	362.40	1.82%	3.50%	
0P0000SBPF.BO	HDFC Standard Life - Balanced Fund Life Super II	+0.19	+0.62%	31.47	30.78	30.05	7.99%	4.74%	
0P0000XW6V.BO	HDFC Money Market Direct Plan Growth Option	+2.17	+0.04%	5,014.82	4,981.88	4,866.45	2.09%	3.77%	
0P0001BA6V.BO	HDFC Money Market Direct Plan Weekly Dividend Reinvestment Option	+0.46	+0.04%	1,063.42	1,063.51	1,063.44	1.41%	2.77%	
0P0001BA6W.BO	HDFC Money Market Weekly Dividend Reinvestment	+0.45	+0.04%	1,063.39	1,063.45	1,063.41	1.38%	2.69%	
0P00005WLQ.BO	HDFC Money Market Growth	+2.09	+0.04%	4,933.40	4,901.32	4,790.20	2.04%	3.67%	
0P0000XW6W.BO	HDFC Money Market Direct Plan Weekly Dividend Payout Option	+0.46	+0.04%	1,063.42	1,063.51	1,063.44	1.41%	2.77%	
0P0000XW6U.BO	HDFC Money Market Direct Plan Daily Dividend Reinvestment Option	0.00	0.00%	1,063.64	1,063.64	1,063.63	2.09%	3.74%	
0P00005WLP.BO	HDFC Money Market Daily Dividend Reinvestment	0.00	0.00%	1,063.64	1,063.64	1,063.63	2.04%	3.64%	
0P00005WLR.BO	HDFC Money Market Weekly Dividend Payout	+0.45	+0.04%	1,063.39	1,063.45	1,063.41	1.38%	2.69%	
0P0000NPDC.BO	Max Life - Growth Super Fund	+0.44	+0.74%	59.10	57.52	56.27	12.05%	5.27%	
0P0000XVY2.BO	Aditya Birla Sun Life Savings Fund Daily Dividend Reinvestment Direct Plan	0.00	0.00%	100.06	100.03	100.01	1.93%	3.56%	
0P00009N2M.BO	Aditya Birla Sun Life Savings Fund Weekly Dividend Reinvestment Regular Plan	+0.04	+0.04%	100.39	100.41	100.40	1.97%	3.41%	
0P00009N2K.BO	Aditya Birla Sun Life Savings Fund Retail Weekly Dividend Reinvestment	+0.04	+0.04%	100.39	100.41	100.40	1.98%	3.42%	
0P00009N0X.BO	Aditya Birla Sun Life Savings Fund Daily Dividend Reinvestment Regular Plan	0.00	0.00%	100.06	100.03	100.01	1.88%	3.46%	
0P0001BJEU.BO	Aditya Birla Sun Life Savings Fund Weekly Dividend Reinvestment Direct Plan	+0.04	+0.04%	100.41	100.42	100.42	2.02%	3.51%	
0P0000KKEN.BO	Aditya Birla Sun Life Savings Fund Discipline Advantage Plan Growth	+0.11	+0.04%	272.02	270.38	264.56	1.93%	3.53%	
0P00005X1V.BO	Aditya Birla Sun Life Savings Fund Growth Regular Plan	+0.20	+0.04%	472.42	469.48	459.27	1.98%	3.56%	
0P0000GBC7.BO	Aditya Birla Sun Life Savings Fund Retail Daily Dividend Reinvestment	0.00	0.00%	100.06	100.03	100.01	1.98%	3.56%	
0P00005V3Z.BO	Aditya Birla Sun Life Savings Fund Fund Retail Growth	+0.19	+0.04%	457.15	454.31	444.42	1.98%	3.56%	
0P0000NNDH.BO	Aditya Birla Sun Life - Individual Enhancer Fund	+0.21	+0.24%	89.52	88.31	85.98	5.47%	4.51%	
0P0000XV5I.BO	Kotak Bluechip Growth Direct	+4.96	+1.09%	455.33	440.70	427.43	12.10%	6.53%	
0P00005WSE.BO	Kotak Bluechip Growth	+4.38	+1.08%	405.40	392.82	382.51	11.74%	5.85%	
0P0001BASL.BO	Kotak Bluechip Dividend Reinvestment	+0.57	+1.08%	52.33	50.71	49.38	11.74%	5.85%	
